BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
#,変1,変1,変1,変1,変1,変2,変2,変2,変2,変2,直1,直1,直1,直1,直1,直2,直2,直2,直2,直2,B1,B2,CB1,CB2
6,7742.680635,21399.06223,38896.30114,51882.05685,60965.98925,6032.777844,16673.2679,30306.39578,40424.36178,47502.18775,410.2605017,1133.869575,2060.993701,2749.068401,3230.397651,227.8246349,629.6570617,1144.504859,1526.604443,1793.894763,-979.0455511,-532.3636928,-1570.485418,-863.0202847
7,7209.640974,19925.85812,36218.51135,48310.27141,56768.82656,5885.753618,16266.92535,29567.80164,39439.18369,46344.51668,501.8418113,1386.980124,2521.063588,3362.735287,3951.510325,251.1306443,694.0697336,1261.585442,1682.773058,1977.406648,-1220.636799,-591.0872683,-1937.840602,-954.8328775
8,6884.136974,19026.23683,34583.30228,46129.1383,54205.80294,5600.750541,15479.23968,28136.0539,37529.43866,44100.39796,561.086734,1550.720029,2818.687687,3759.722919,4418.00578,296.7663055,820.1966396,1490.841755,1988.567921,2336.742563,-1380.761411,-708.2030318,-2177.175331,-1136.027362
9,6583.367535,18194.97642,33072.35029,44113.74624,51837.53964,5336.475296,14748.84117,26808.43495,35758.58643,42019.49052,619.0417158,1710.894821,3109.831612,4148.066931,4874.344219,341.2054184,943.0165499,1714.087062,2286.344969,2686.656837,-1540.065438,-824.8379108,-2412.070253,-1313.987656
10,6305.90646,17428.13518,31678.49072,42254.53856,49652.80677,5215.170622,14413.5818,26199.04612,34945.7496,41064.33561,675.8237316,1867.827794,3395.082998,4528.551146,5321.446706,363.0126217,1003.286852,1823.63821,2432.470402,2858.3671,-1698.489188,-882.9606352,-2642.539287,-1401.757649
11,6050.37333,16721.89794,30394.78886,40542.26539,47640.73488,4979.713835,13762.83115,25016.20021,33368.00373,39210.34516,731.5347978,2021.800898,3674.954339,4901.859157,5760.116518,405.8680678,1121.729857,2038.927774,2719.635636,3195.811558,-1855.974469,-998.7884798,-2868.597158,-1574.882975
12,5824.188765,16096.77367,29258.52309,39026.6507,45859.75405,4865.395341,13446.88004,24441.9073,32601.9798,38310.19954,786.2629042,2173.057318,3949.887661,5268.580563,6191.04649,426.9403312,1179.968947,2144.786861,2860.836392,3361.734891,-2012.464588,-1056.482534,-3090.259401,-1660.240679
13,5511.690447,15233.09722,27688.64965,36932.66591,43399.13738,4663.025353,12887.57401,23425.27697,31245.94154,36716.73506,866.6724236,2395.291501,4353.834695,5807.387657,6824.192312,468.4285615,1294.633268,2353.208049,3138.840203,3688.41387,-2245.213515,-1171.40375,-3414.546935,-1828.552373
14,5322.535404,14710.31438,26738.4062,35665.17818,41909.72759,4561.444632,12606.82729,22914.97382,30565.27072,35916.88686,919.2441572,2540.588183,4617.935215,6159.659668,7238.14297,488.8642977,1351.113138,2455.869464,3275.775727,3849.325178,-2398.977546,-1228.620253,-3625.293378,-1911.508951
15,5149.584562,14232.31639,25869.56654,34506.27136,40547.90994,4376.60202,12095.96306,21986.3944,29326.67968,34461.43323,971.0433171,2683.74964,4878.154617,6506.754826,7646.010371,529.1634911,1462.491223,2658.31738,3545.812054,4166.641662,-2551.559806,-1342.538909,-3831.704932,-2075.030321
16,4999.93142,13818.7081,25117.76572,33503.47747,39369.53874,4212.989004,11643.77276,21164.46445,28230.34364,33173.14177,1022.105653,2824.874679,5134.672494,6848.912684,8048.076009,568.75165,1571.904167,2857.193328,3811.083891,4478.359449,-2702.910353,-1455.737704,-4033.800769,-2235.372067
17,4855.919818,13420.69178,24394.30586,32538.48634,38235.58912,4130.144879,11414.80986,20748.28687,27675.22277,32520.82582,1072.457581,2964.036306,5387.621547,7186.310245,8444.54788,588.2963691,1625.921461,2955.37861,3942.048899,4632.254875,-2852.980744,-1512.054635,-4231.600872,-2314.354252
18,4724.710744,13058.05883,23735.16106,31659.28223,37202.44681,3986.940016,11019.02319,20028.87977,26715.63743,31393.22847,1122.116955,3101.283868,5637.091475,7519.067155,8835.566575,626.9167326,1732.659631,3149.39272,4200.835744,4936.352225,-3001.724038,-1624.099121,-4425.12603,-2469.94891
19,4553.718479,12585.47391,22876.16055,30513.49942,35856.05102,3913.941805,10817.27223,19662.16434,26226.49194,30818.43941,1195.327498,3303.621668,6004.873573,8009.63544,9412.027545,646.0026464,1785.408889,3245.273137,4328.726394,5086.635011,-3222.251679,-1679.817101,-4707.445717,-2546.564558
20,4458.158329,12321.36672,22396.10247,29873.17116,35103.60889,3789.160808,10472.40507,19035.31178,25390.36101,29835.91188,1243.284138,3436.163248,6245.789608,8330.982691,9789.638884,683.7478685,1889.728361,3434.890867,4581.649103,5383.841484,-3367.481704,-1790.621112,-4890.37978,-2697.440702
21,4363.823044,12060.64479,21922.19765,29241.05048,34360.81137,3725.006866,10295.09772,18713.02662,24960.47908,29330.76272,1290.553927,3566.806522,6483.25516,8647.727494,10161.84194,702.4145306,1941.3189,3528.665122,4706.730437,5530.823076,-3511.232148,-1845.697974,-5069.118033,-2771.704592
22,4285.98107,11845.50674,21531.149,28719.44796,33747.88244,3616.753671,9995.909751,18169.20348,24235.09743,28478.37536,1337.125138,3695.519084,6717.211326,8959.791282,10528.5444,739.3510155,2043.4032,3714.220062,4954.23397,5821.661539,-3653.462819,-1955.179005,-5243.684905,-2917.892769
23,4207.652119,11629.02279,21137.65395,28194.58231,33131.11905,3560.48775,9840.403151,17886.54476,23858.07146,28035.33661,1382.981317,3822.255452,6947.575437,9267.063788,10889.61667,757.6256065,2093.910141,3806.0247,5076.688119,5965.555956,-3794.135025,-2009.574413,-5414.105633,-2989.82067
24,4144.144159,11453.50079,20818.61397,27769.02897,32631.05637,3466.957031,9581.904866,17416.68178,23231.342,27298.87426,1428.101895,3946.958779,7174.244163,9569.407183,11244.89681,793.796478,2193.878455,3987.733488,5319.061439,6250.365968,-3933.211576,-2117.653621,-5580.406265,-3131.353402
25,4051.824152,11198.34864,20354.83314,27150.41223,31904.12718,3376.406074,9331.641984,16961.78799,22624.57928,26585.8746,1494.349993,4130.053918,7507.049571,10013.32161,11766.53538,829.47069,2292.474112,4166.947246,5558.10675,6531.265276,-4138.75688,-2224.756289,-5822.190996,-3269.801547
26,3993.785137,11037.9416,20063.26706,26761.50513,31447.12706,3337.149943,9223.146694,16764.58003,22361.5323,26276.77121,1537.519878,4249.365962,7723.918757,10302.59383,12106.45573,847.1231949,2341.261743,4255.626759,5676.392432,6670.261377,-4273.69142,-2277.931275,-5978.310644,-3337.87385
27,3948.228579,10912.03332,19834.40813,26456.24032,31088.414,3258.543957,9005.897078,16369.69326,21834.81029,25657.82643,1579.858135,4366.379569,7936.610157,10586.29349,12439.82783,882.0595776,2437.818203,4431.133941,5910.493705,6945.351004,-4406.911945,-2383.508855,-6130.407724,-3471.72514
28,3897.994502,10773.1974,19582.05112,26119.63245,30692.87009,3224.856332,8912.79191,16200.45937,21609.07668,25392.56954,1621.332684,4481.00608,8144.962618,10864.20562,12766.39909,899.3428296,2485.585301,4517.958467,6026.305102,7081.439603,-4538.388014,-2435.903774,-6278.511921,-3537.508325
29,3859.151544,10665.84403,19386.91878,25859.35405,30387.02003,3156.617899,8724.195925,15857.65527,21151.82545,24855.25904,1661.910301,4593.153668,8348.809231,11136.10761,13085.90788,933.5359348,2580.087505,4689.731704,6255.425831,7350.676652,-4668.090685,-2539.887189,-6422.653729,-3666.800544
30,3822.794503,10565.36118,19204.27475,25615.73324,30100.74412,3127.748543,8644.40739,15712.62654,20958.37803,24627.94128,1701.557076,4702.728611,8547.97964,11401.77222,13398.08721,950.4436604,2626.816731,4774.669727,6368.720905,7483.808349,-4795.992517,-2591.468417,-6562.86445,-3730.313997
31,3780.071218,10447.28344,18989.64911,25329.45359,29764.3403,3068.401119,8480.384196,15414.48751,20560.70356,24160.63874,1740.238848,4809.636501,8742.302243,11660.97055,13702.66809,983.8745134,2719.212238,4942.613697,6592.733944,7747.043413,-4922.067568,-2693.792254,-6699.176194,-3855.086907
32,3731.353845,10312.63937,18744.91144,25003.00884,29380.73894,3020.109557,8346.916964,15171.88895,20237.11207,23780.39021,1796.377903,4964.792472,9024.323638,12037.14642,14144.7079,1016.781045,2810.158637,5107.923676,6813.233618,8006.149962,-5107.701875,-2794.975171,-6896.405462,-3976.870007
33,3691.588603,10202.737,18545.14589,24736.5504,29067.62679,2997.710837,8285.01184,15059.36625,20087.02301,23604.02233,1832.499749,5064.625289,9205.786139,12279.19123,14429.13188,1033.032723,2855.074691,5189.565962,6922.132655,8134.115928,-5229.106324,-2845.130505,-7023.115556,-4036.646335
34,3660.922598,10117.98293,18391.09148,24531.06402,28826.16219,2950.261727,8153.872963,14820.99986,19769.07661,23230.4073,1867.540816,5161.471074,9381.819218,12513.99397,14705.0458,1065.121644,2943.761393,5350.768572,7137.15369,8386.784595,-5348.60501,-2944.552956,-7146.045428,-4153.980779
35,3621.758305,10009.74146,18194.34487,24268.63242,28517.78193,2930.930176,8100.444816,14723.88545,19639.54,23078.19036,1901.470585,5255.245475,9552.269553,12741.35014,14972.20933,1080.953991,2987.51851,5430.3043,7243.242883,8511.448747,-5466.178741,-2993.813891,-7265.230828,-4211.543897
36,3591.253764,9925.433632,18041.10159,24064.22798,28277.5887,2888.947035,7984.412672,14512.97802,19358.2199,22747.61445,1934.260257,5345.8689,9716.992474,12961.06676,15230.39573,1112.181387,3073.824149,5587.178937,7452.491028,8757.333757,-5581.809826,-3091.420228,-7380.708314,-4324.474708
37,3560.374576,9840.090364,17885.97622,23857.3131,28034.44548,2872.117255,7937.898869,14428.43156,19245.44712,22615.09649,1965.883037,5433.267292,9875.853369,13172.96429,15479.39399,1127.570924,3116.357437,5664.490156,7555.613045,8878.511216,-5695.482074,-3139.759854,-7492.515252,-4379.847622
38,3504.063349,9684.458548,17603.0899,23479.98355,27591.05,2840.520312,7850.571886,14269.70047,19033.72272,22366.30167,2011.076282,5558.171458,10102.88715,13475.79462,15835.24632,1157.887328,3200.145293,5816.78831,7758.75682,9117.223056,-5862.285898,-3235.49809,-7653.427112,-4488.421798
39,3471.360206,9594.07427,17438.80167,23260.84674,27333.54493,2819.655859,7792.907138,14164.88534,18893.91446,22202.01464,2039.679982,5637.225776,10246.58133,13667.46193,16060.4723,1172.808274,3241.383496,5891.7455,7858.738904,9234.710816,-5971.00006,-3282.89133,-7756.226465,-4541.6285
40,3437.5875,9500.733958,17269.14036,23034.54301,27067.61811,2791.558392,7715.251933,14023.73428,18705.6393,21980.77474,2067.042246,5712.849041,10384.039,13850.81064,16275.92319,1202.160525,3322.506649,6039.20012,8055.422103,9465.830909,-6077.710527,-3376.713139,-7855.492421,-4645.895013
41,3393.722296,9379.500205,17048.77815,22740.61161,26722.22281,2765.259138,7642.566595,13891.61677,18529.4136,21773.694,2093.148104,5784.999879,10515.18497,14025.74045,16481.48114,1230.839442,3401.768852,6183.272158,8247.593427,9691.64915,-6182.407858,-3469.232292,-7951.265986,-4747.317932
42,3357.527681,9279.466267,16866.95008,22498.07918,26437.22583,2746.600122,7590.997186,13797.88093,18404.38349,21626.77261,2117.9857,5853.645517,10639.95966,14192.17189,16677.05275,1244.918677,3440.680752,6254.000911,8341.935385,9802.509266,-6285.084113,-3514.997466,-8043.588971,-4796.97028
43,3319.940967,9175.584878,16678.12864,22246.21861,26141.26746,2722.384563,7524.07072,13676.23111,18242.12018,21436.09892,2141.546406,5918.762114,10758.31974,14350.04718,16862.57012,1272.541286,3517.023555,6392.766462,8527.028619,10020.01013,-6385.732851,-3605.527789,-8132.504001,-4894.171542
44,3251.915068,8987.576291,16336.39223,21790.39152,25605.63046,2710.650313,7491.639842,13617.28268,18163.49147,21343.70325,2174.482648,6009.790627,10923.77897,14570.74594,17121.91062,1286.078551,3554.437569,6460.772561,8617.738949,10126.60276,-6532.893962,-3650.288654,-8259.581854,-4941.726484
45,3210.74992,8873.804898,16129.59409,21514.55262,25281.49544,2681.568885,7411.265185,13471.18857,17968.623,21114.71563,2194.835441,6066.041257,11026.02371,14707.12567,17282.16882,1312.58996,3627.70926,6593.955863,8795.386269,10335.35402,-6628.45557,-3738.791588,-8340.168773,-5034.760327
46,3168.083963,8755.885599,15915.25645,21228.65711,24945.54302,2670.349952,7380.25853,13414.82889,17893.44732,21026.37758,2213.907827,6118.753128,11121.83617,14834.92567,17432.34509,1325.55822,3663.55067,6659.103498,8882.283819,10437.4663,-6721.978928,-3782.52978,-8417.503281,-5080.245474
47,3123.93002,8633.853835,15693.44372,20932.79092,24597.87417,2648.167371,7318.950766,13303.39199,17744.80656,20851.71158,2231.706607,6167.945033,11211.25052,14954.19152,17572.49297,1350.905549,3733.605101,6786.438901,9052.130886,10637.05157,-6813.464346,-3868.970427,-8491.631641,-5169.168107
48,3078.318289,8507.793067,15464.30763,20627.15641,24238.72669,2619.837463,7240.653145,13161.07324,17554.97386,20628.64144,2248.242061,6213.64538,11294.31838,15064.99208,17702.69339,1375.449009,3801.437813,6909.735968,9216.591392,10830.30716,-6902.913634,-3954.018639,-8562.60092,-5255.382136
49,3022.617116,8353.847305,15184.48598,20253.91469,23800.13477,2608.826861,7210.222269,13105.76014,17481.19416,20541.94379,2263.52791,6255.892099,11371.10871,15167.4193,17823.05441,1387.412724,3834.502883,6969.837149,9296.757701,10924.50964,-6990.330099,-3996.016539,-8630.458999,-5297.481665
50,2949.78018,8152.542073,14818.58075,19765.84987,23226.61559,2586.648387,7148.925857,12994.34386,17332.58092,20367.31013,2284.152014,6312.892573,11474.71642,15305.61704,17985.44893,1410.711766,3898.896297,7086.882729,9452.879627,11107.96666,-7117.654187,-4078.95244,-8726.519337,-5379.682555
51,2899.664074,8014.032205,14566.81637,19430.0325,22832.00058,2575.434888,7117.934218,12938.01148,17257.44165,20279.01487,2296.395913,6346.732013,11536.22514,15387.66081,18081.85759,1422.042443,3930.211791,7143.803769,9528.804087,11197.18459,-7200.01292,-4119.887648,-8786.814185,-5419.790746
52,2848.40455,7872.36218,14309.30789,19086.55332,22428.38228,2546.275378,7037.343761,12791.52513,17062.04997,20049.41242,2307.464315,6377.322636,11591.82861,15461.82781,18169.01036,1444.055284,3991.050431,7254.387963,9676.307455,11370.51405,-7280.362225,-4200.686106,-8844.171773,-5498.039971
53,2796.10032,7727.804823,14046.55122,18736.0738,22016.53796,2534.701562,7005.356286,12733.38265,16984.49629,19958.28002,2317.385379,6404.742269,11641.66828,15528.30675,18247.12897,1454.733458,4020.56255,7308.031075,9747.859631,11454.59416,-7358.712162,-4240.546972,-8898.643618,-5536.188054
54,2734.623959,7557.897714,13737.71721,18324.13377,21532.47212,2511.045395,6939.975855,12614.54301,16825.98135,19772.01098,2326.190092,6429.076553,11685.89983,15587.30526,18316.45742,1475.424249,4077.747334,7411.973787,9886.504221,11617.51377,-7435.07429,-4319.186518,-8950.282044,-5610.549062
55,2680.71711,7408.911069,13466.90958,17962.91544,21108.00874,2498.933726,6906.501871,12553.69856,16744.82363,19676.64351,2333.912077,6450.418417,11724.69217,15639.04864,18377.26045,1485.433621,4105.41103,7462.257087,9953.574891,11696.32772,-7509.461668,-4357.963222,-8999.140187,-5646.769255
56,2626.102408,7257.968073,13192.54596,17596.95393,20677.97172,2474.079306,6837.809735,12428.83935,16578.27944,19480.93942,2340.587379,6468.867482,11758.22636,15683.77842,18429.82189,1504.773204,4158.861375,7559.411844,10083.16533,11848.60791,-7581.888856,-4434.426049,-9045.271989,-5717.307469
57,2543.113386,7028.604713,12775.64047,17040.86214,20024.51485,2441.916838,6748.919766,12267.26727,16362.76559,19227.69164,2348.721961,6491.349671,11799.09142,15738.28652,18493.87371,1523.199377,4209.787255,7651.977974,10206.6352,11993.69588,-7686.889821,-4509.429646,-9109.477791,-5785.334473
58,2487.250918,6874.213167,12495.00855,16666.53961,19584.6529,2428.703425,6712.400804,12200.88807,16274.22531,19123.64901,2352.951927,6503.040366,11820.34118,15766.63063,18527.18053,1532.067525,4234.296859,7696.528194,10266.05877,12063.52382,-7754.490074,-4546.382565,-9149.035045,-5818.415793
59,2431.097954,6719.018756,12212.91728,16290.27055,19142.50358,2401.514675,6637.257094,12064.30207,16092.03928,18909.56437,2356.276774,6512.229509,11837.04395,15788.90972,18553.36043,1549.110412,4281.399644,7782.145221,10380.25953,12197.71978,-7820.192906,-4619.187902,-9186.061125,-5882.733427
60,2374.770331,6563.341624,11929.94859,15912.83112,18698.97899,2387.528626,6598.602739,11994.04144,15998.32174,18799.438,2358.740139,6519.037706,11849.41896,15805.4162,18572.757,1557.284195,4303.990176,7823.207214,10435.03031,12262.08027,-7884.019629,-4655.039426,-9220.613611,-5913.977596
61,2318.379435,6407.48962,11646.66204,15534.96771,18254.95618,2352.307416,6501.259079,11817.1034,15762.3119,18522.10564,2360.386468,6523.587796,11857.6895,15816.44791,18585.72022,1572.935194,4347.246089,7901.831922,10539.90433,12385.31649,-7945.993049,-4725.638461,-9252.750894,-5974.656546
62,2254.902772,6232.054119,11327.77928,15109.62409,17755.13994,2337.554555,6460.485425,11742.9906,15663.45611,18405.94138,2361.260645,6526.003829,11862.08103,15822.30558,18592.6035,1580.412382,4367.911387,7939.394487,10590.00738,12444.19199,-8006.137478,-4760.385484,-9282.532172,-6004.099401
63,2170.935035,5999.985806,10905.95711,14546.97413,17093.97666,2307.234161,6376.686539,11590.6724,15460.2856,18167.19812,2361.222306,6525.89787,11861.88844,15822.04868,18592.30162,1594.671237,4407.319717,8011.025582,10685.55293,12556.46643,-8092.98163,-4828.773836,-9322.918067,-6061.212328
64,2115.274035,5846.151072,10626.33728,14174.0016,16655.70106,2275.831141,6289.895516,11432.9155,15249.86064,17919.93025,2360.361699,6523.519342,11857.56507,15816.28194,18585.52519,1608.00604,4444.174173,8078.014593,10774.90661,12661.46488,-8148.669778,-4895.687776,-9347.073633,-6115.989249
65,2059.951977,5693.253102,10348.42017,13803.30026,16220.09431,2259.728068,6245.390172,11352.01974,15141.95737,17793.13439,2358.883542,6519.434041,11850.13937,15806.37712,18573.88616,1614.328755,4461.648763,8109.777524,10817.27378,12711.25004,-8202.625829,-4928.592037,-9369.086756,-6142.512232
66,2005.027009,5541.452598,10072.49789,13435.25972,15787.61424,2226.734336,6154.202772,11186.2717,14920.87339,17533.34123,2356.829437,6513.756948,11839.82032,15792.613,18557.7121,1626.289851,4494.706597,8169.865552,10897.42255,12805.4319,-8254.880844,-4993.296133,-9389.020274,-6193.848617
67,1950.542492,5390.869408,9798.788269,13070.17056,15358.6023,2203.525836,6090.059594,11069.68097,14765.35816,17350.59713,2354.238949,6506.597411,11826.80669,15775.25469,18537.31456,1631.930715,4510.2967,8198.203119,10935.22077,12849.84815,-8305.467383,-5025.096564,-9406.937831,-6218.670676
68,1896.525427,5241.57815,9527.426951,12708.21369,14933.27108,2169.114973,5994.955556,10896.8138,14534.77828,17079.64546,2351.149075,6498.057681,11811.28433,15754.5501,18512.98485,1642.54043,4539.619615,8251.50232,11006.31422,12933.38922,-8354.419504,-5087.596202,-9422.903883,-6266.64445
69,1816.390823,5020.10377,9124.860983,12171.24874,14302.28994,2151.550214,5946.410434,10808.57509,14417.08057,16941.34027,2345.651027,6482.862288,11783.66422,15717.70885,18469.69313,1647.512679,4553.361813,8276.481016,11039.6322,12972.54078,-8424.861352,-5118.296412,-9443.336873,-6289.805042
70,1763.538899,4874.032705,8859.352894,11817.09924,13886.13306,2115.736524,5847.429292,10628.66065,14177.10065,16659.34271,2341.45265,6471.258899,11762.57315,15689.57642,18436.63504,1656.801554,4579.034217,8323.144817,11101.87498,13045.68153,-8469.886285,-5178.600638,-9454.711455,-6334.496104
71,1711.097328,4729.095766,8595.906264,11465.69942,13473.20731,2097.502906,5797.035591,10537.06184,14054.92105,16515.77091,2336.855961,6458.554663,11739.48112,15658.77498,18400.44063,1661.122454,4590.97623,8344.851382,11130.82841,13079.70436,-8513.407824,-5208.206067,-9464.366489,-6356.035671
72,1659.000021,4585.110296,8334.189084,11116.60644,13062.99229,2060.423783,5694.557069,10350.79034,13806.46173,16223.80931,2331.879215,6444.800034,11714.47983,15625.42686,18361.25366,1669.1289,4613.104284,8385.072743,11184.47791,13142.74725,-8555.466777,-5266.327593,-9472.370069,-6397.525893
73,1607.155909,4441.824598,8073.743856,10769.21006,12654.77093,2022.588961,5589.989964,10160.7225,13552.93863,15925.89733,2326.534762,6430.029145,11687.63132,15589.61482,18319.17135,1676.305408,4632.938567,8421.124803,11232.56616,13199.25518,-8596.105454,-5323.002855,-9478.791095,-6436.928682
74,1555.447388,4298.913647,7813.979791,10422.72226,12247.61723,2003.411988,5536.989038,10064.38463,13424.43781,15774.89754,2320.82836,6414.257908,11658.96452,15551.37744,18274.23905,1679.589362,4642.014694,8437.622151,11254.57124,13225.11309,-8635.367665,-5350.800707,-9483.699278,-6455.859095
75,1477.812106,4084.346844,7423.969478,9902.504742,11636.3158,1958.691645,5413.391871,9839.726534,13124.7763,15422.76886,2311.584551,6388.710057,11612.52711,15489.43663,18201.45315,1685.56359,4658.526143,8467.634414,11294.60327,13272.15425,-8691.779633,-5405.322589,-9488.379452,-6492.201886
76,1425.739987,3940.430988,7162.378832,9553.580543,11226.29911,1939.125287,5359.314769,9741.432544,12993.66629,15268.70305,2304.948742,6370.370146,11579.19132,15444.97149,18149.2027,1688.26017,4665.978896,8481.181013,11312.67248,13293.38717,-8727.802191,-5432.049116,-9489.815815,-6509.623947
77,1373.160604,3795.113166,6898.239886,9201.257278,10812.28822,1899.61916,5250.128545,9542.968693,12728.94413,14957.63118,2297.908767,6350.913207,11543.82515,15397.79812,18093.76982,1693.088822,4679.324224,8505.438332,11345.02825,13331.40804,-8762.613431,-5484.440095,-9489.989687,-6542.993877
78,1319.817862,3647.685587,6630.26611,8843.818902,10392.26663,1879.700896,5195.078853,9442.906861,12595.47608,14800.79445,2290.431592,6330.247944,11506.26264,15347.69516,18034.89443,1695.227809,4685.235913,8516.183796,11359.36114,13348.25046,-8796.263912,-5510.10745,-9488.974419,-6558.951648
79,1265.42066,3497.343714,6356.995126,8479.314816,9963.942204,1839.588167,5084.216114,9241.395671,12326.68921,14484.94619,2282.47339,6308.253229,11466.28365,15294.36894,17972.23142,1698.973058,4695.586955,8534.99851,11384.45726,13377.74061,-8828.805693,-5560.393661,-9486.844166,-6589.437829
80,1209.641361,3343.182029,6076.78101,8105.549592,9524.735125,1799.179455,4972.535344,9038.397577,12055.91902,14166.76736,2273.978701,6284.775779,11423.60953,15237.44783,17905.3441,1702.032849,4704.043544,8550.369746,11404.96027,13401.83346,-8860.292337,-5609.293025,-9483.673895,-6618.05199
81,1122.570205,3102.53655,5639.368431,7522.104286,8839.135471,1778.891001,4916.462529,8936.47605,11919.97041,14007.01575,2260.078443,6246.358531,11353.77989,15144.30516,17795.89325,1703.315266,4707.58786,8556.812122,11413.55347,13411.93123,-8905.664771,-5633.227074,-9477.134434,-6631.669874
82,1061.648629,2934.162746,5333.321459,7113.881758,8359.438023,1738.198685,4803.997941,8732.053237,11647.29985,13686.60382,2249.915647,6218.270803,11302.72585,15076.20642,17715.87123,1705.404759,4713.36276,8567.308949,11427.55473,13428.38393,-8934.757736,-5680.073371,-9471.6974,-6657.55319
83,997.888336,2757.943354,5013.013846,6686.63759,7857.388473,1717.815424,4747.663101,8629.655437,11510.71595,13526.1057,2238.917891,6187.875432,11247.47728,15002.5128,17629.27473,1706.219813,4715.61539,8571.403472,11433.01623,13434.80168,-8962.994836,-5702.989608,-9465.489098,-6669.829108
84,930.7782646,2572.465912,4675.878211,6236.947269,7328.962714,1677.024469,4634.925893,8424.737094,11237.38443,13204.91707,2226.966284,6154.843826,11187.43693,14922.42762,17535.16759,1707.410703,4718.906746,8577.386051,11440.99613,13444.17876,-8990.43638,-5747.818743,-9458.58813,-6693.075954
85,859.7623509,2376.193584,4319.121101,5761.084729,6769.782291,1651.415655,4564.148777,8296.088091,11065.78521,13003.27287,2213.925236,6118.801241,11121.92362,14835.04233,17432.48217,1707.79466,4719.967918,8579.314905,11443.56894,13447.20205,-9017.144179,-5769.736036,-9451.073911,-6704.057588
86,784.2379744,2167.460858,3939.715179,5255.011939,6175.102161,1610.82554,4451.966649,8092.178695,10793.79948,12683.66567,2199.641454,6079.32402,11050.16731,14739.32975,17320.01145,1708.159929,4720.977441,8581.149879,11446.01653,13450.07818,-9043.181543,-5812.587572,-9443.026662,-6724.764313
87,703.5543955,1944.469235,3534.391373,4714.36843,5539.79839,1590.576636,4396.003143,7990.455855,10658.11588,12524.22548,2183.942929,6035.936757,10971.30385,14634.13727,17196.40102,1708.149346,4720.948192,8581.096713,11445.94562,13449.99485,-9068.613281,-5833.526619,-9434.527414,-6734.50033
